tf_a,tf_b,cell_type,expected_gate,best_gate,best_score,confidence,correct_classification,additivity,synergy_class
OCT4,SOX2,K562,AND,AND,0.0,0.0,True,0.5,interference
GATA1_MODULE,TAL1_MODULE,K562,AND,OR,0.8309287915066383,0.8309287915066383,False,0.5949720670391061,interference
HS2_ENHANCER,GATA1_MODULE,K562,AND,AND,0.0,0.0,True,0.7092198581560284,interference
HS2_ENHANCER,KLF1_MODULE,K562,AND,AND,0.0,0.0,True,0.7625570776255708,interference
GATA1_MODULE,GATA2,K562,OR,AND,0.0,0.0,False,0.8850698174006445,interference
KLF1_MODULE,TAL1_MODULE,K562,OR,OR,0.00248006383316568,0.00248006383316568,True,0.9633507853403142,additive
HS2_ENHANCER,TAL1_MODULE,K562,OR,AND,0.0,0.0,False,0.601063829787234,interference
GATA1_MODULE,PU1,K562,XOR,AND,0.0,0.0,False,0.8850698174006445,interference
GATA1_MODULE,HNF4A_MODULE,K562,XOR,OR,0.3702447704230185,0.3702447704230185,False,0.7257240204429302,interference
GATA1_MODULE,HNF4A_MODULE,HepG2,XOR,OR,0.7670171555063641,0.7670171555063641,False,0.5421348314606742,interference
TAL1_MODULE,HNF4A_MODULE,K562,XOR,OR,0.771172581558063,0.771172581558063,False,0.5943396226415094,interference
TAL1_MODULE,HNF4A_MODULE,HepG2,XOR,AND,0.0,0.0,False,0.5042881646655232,interference
HS2_ENHANCER,HNF4A_MODULE,K562,XOR,AND,0.0,0.0,False,0.5708502024291497,interference
HS2_ENHANCER,HNF4A_MODULE,HepG2,XOR,AND,0.0,0.0,False,0.5300353356890459,interference
